CLUSTERID1	CLUSTERID2	ComponentIndex	Cosine	DeltaMZ
26850	36873	21	0.9888	-88.052
26850	38180	21	0.9766	-176.105
36873	38180	21	0.9852	-88.053
36873	44225	21	0.9827	-176.105
25007	36873	21	0.9942	-44.026
38180	44225	21	0.9829	-88.052
25007	38180	21	0.9808	-132.079
66267	73289	23	0.9756	18.010
66267	69825	23	0.9701	-14.016
66267	91463	23	0.9453	6.959
55240	56509	24	0.8139	-16.960
13944	17506	25	0.9394	-18.010
22105	26999	26	0.9504	-88.053
24702	26999	26	0.9736	-44.026
25132	26999	26	0.9421	-27.000
25140	26999	26	0.9485	17.026
26999	28450	26	0.9699	-44.026
26999	29325	26	0.9452	-193.131
26999	31018	26	0.9656	-88.052
8761	16162	26	0.9599	-44.027
16162	21355	26	0.9652	-44.026
16162	22105	26	0.9348	-27.000
16162	25132	26	0.9566	-88.052
16162	25140	26	0.9468	-132.079
15513	19075	26	0.9442	-44.026
19075	22105	26	0.9604	-44.027
19075	24702	26	0.9416	-88.053
25140	29325	26	0.9815	-176.105
26767	29325	26	0.9874	-132.079
28450	29325	26	0.954	-149.105
28926	29325	26	0.9936	-88.053
29325	31018	26	0.9662	105.079
29325	31786	26	0.996	44.026
29325	34938	26	0.997	-44.026
29325	36485	26	0.9724	-88.053
29325	37780	26	0.9774	-132.079
21355	22105	26	0.9322	17.026
21355	25132	26	0.9913	-44.026
21355	25140	26	0.9835	-88.053
21355	26767	26	0.9762	-132.079
21355	28926	26	0.9687	-176.105
25132	28926	26	0.9837	-132.079
25140	28926	26	0.9918	-88.053
26767	28926	26	0.9971	-44.026
28450	28926	26	0.9542	-61.053
28926	31018	26	0.9634	17.026
28926	31786	26	0.998	-44.026
28926	34938	26	0.9893	-132.079
28926	36485	26	0.9578	-176.105
15513	22105	26	0.9289	-88.053
34938	36485	26	0.9753	-44.026
36485	37780	26	0.9631	-44.026
31786	36485	26	0.9632	-132.079
24702	31018	26	0.9602	-132.079
25132	31018	26	0.9441	-115.052
25140	31018	26	0.9538	-71.026
26767	31018	26	0.9593	-27.000
28450	31018	26	0.9724	-44.026
31018	31786	26	0.9662	-61.053
31018	34938	26	0.9658	-149.106
24702	28450	26	0.9631	-88.052
25132	28450	26	0.9373	-71.026
26767	28450	26	0.9537	17.026
28450	31786	26	0.9543	-105.079
28450	34938	26	0.9531	-193.132
34938	37780	26	0.9826	-88.052
26767	34938	26	0.982	-176.106
31786	34938	26	0.9923	-88.053
22105	24702	26	0.9771	-44.026
25132	31786	26	0.9793	-176.105
25140	31786	26	0.9883	-132.079
26767	31786	26	0.9932	-88.053
31786	37780	26	0.971	-176.105
24702	25132	26	0.9506	-17.026
24702	25140	26	0.9535	-61.052
24702	26767	26	0.9514	-105.079
25132	25140	26	0.9949	-44.026
25140	26767	26	0.9952	-44.026
25132	26767	26	0.9901	-88.052
33145	37632	27	0.9799	18.010
37632	50064	27	0.8929	-88.052
37632	54505	27	0.9649	-44.026
37632	58536	27	0.9727	0.000
32980	37632	27	0.9469	35.037
38283	67312	27	0.9421	3.011
67312	68658	27	0.9617	-44.026
26475	67312	27	0.9499	-32.026
56528	67312	27	0.9419	-44.026
42072	67312	27	0.9429	88.053
49125	54505	27	0.9711	18.011
50064	54505	27	0.9344	44.026
33145	54505	27	0.926	-26.016
38871	54505	27	0.9529	62.037
30332	54505	27	0.92	-88.052
54505	58536	27	0.9452	44.026
45428	54505	27	0.9327	35.037
29037	30170	27	0.9	-44.026
30170	58536	27	0.898	-14.015
33952	35236	27	0.9475	-176.105
33952	44547	27	0.9584	-132.079
33952	44947	27	0.9599	-14.016
28063	33952	27	0.958	-44.026
31356	33952	27	0.9699	88.052
32592	33952	27	0.9815	44.026
50953	61446	27	0.9843	-132.079
55544	61446	27	0.9784	-176.105
60482	61446	27	0.973	-105.079
60528	61446	27	0.9914	-88.052
60790	61446	27	0.9927	-44.026
61205	61446	27	0.9765	-61.053
61446	61578	27	0.9736	17.027
61446	61760	27	0.9921	-44.026
61446	62171	27	0.9905	-88.052
61446	62473	27	0.9863	-132.079
38871	42403	27	0.9786	-44.027
42403	43705	27	0.9753	-132.078
42403	44769	27	0.9893	-44.026
42403	44947	27	0.9713	-17.026
42403	44973	27	0.9856	-88.051
42403	49125	27	0.9544	88.053
66435	66997	27	0.9917	44.026
66435	68243	27	0.9816	132.079
58346	66435	27	0.9753	44.026
59202	66435	27	0.9439	-105.079
62473	66435	27	0.9318	74.036
52394	70264	27	0.9512	18.010
14295	70264	27	0.9509	18.011
35236	44547	27	0.9923	44.026
28063	44547	27	0.9264	-176.105
31356	44547	27	0.9906	-44.026
32592	44547	27	0.9771	-88.052
39807	44547	27	0.9793	132.079
44547	48513	27	0.9893	-88.053
51802	62171	27	0.9405	-14.016
58097	62171	27	0.9784	-61.053
60528	62171	27	0.9832	-176.105
60790	62171	27	0.9881	-132.079
61205	62171	27	0.9763	-149.105
61578	62171	27	0.9785	-105.079
61760	62171	27	0.9925	-44.026
62171	62473	27	0.9893	-44.026
50953	53078	27	0.9872	88.052
51708	53078	27	0.9925	-44.026
52394	53078	27	0.9794	-88.052
14295	53078	27	0.9773	-88.052
53078	55544	27	0.994	-44.026
53078	59825	27	0.9753	17.027
53078	60528	27	0.9821	-132.079
50953	60528	27	0.9944	-44.026
55439	60528	27	0.9758	-61.053
55544	60528	27	0.9921	-88.053
60482	60528	27	0.98	-17.027
60528	60790	27	0.9949	-44.026
60528	61205	27	0.9745	-27.000
60528	61760	27	0.989	-132.078
47939	48289	27	0.9739	-17.026
48289	51708	27	0.9656	-88.052
48289	52394	27	0.9802	-44.026
48289	68021	27	0.9571	-14.016
38283	48289	27	0.9636	-44.026
14295	48289	27	0.9816	44.026
45428	48289	27	0.9436	-14.015
46752	47291	27	0.9378	-132.079
47291	47718	27	0.9644	88.053
47291	47939	27	0.9419	114.068
47291	52854	27	0.9565	70.042
47291	63238	27	0.9627	26.016
46423	57079	27	0.9774	132.078
48585	57079	27	0.9677	176.105
50353	57079	27	0.9939	44.026
32592	57079	27	0.9607	-14.016
43705	57079	27	0.9615	71.026
44398	57079	27	0.9716	-88.053
44769	57079	27	0.9765	-17.027
44947	57079	27	0.991	-44.026
44973	57079	27	0.9657	26.999
45482	57079	27	0.9864	88.052
17966	40424	27	0.8688	-45.010
40424	40609	27	0.9215	18.011
66997	68243	27	0.9903	88.053
58346	68243	27	0.9597	176.105
59202	68243	27	0.9342	27.000
35236	39807	27	0.986	-88.052
31356	39807	27	0.9692	-176.105
39807	48012	27	0.9575	-14.016
39807	48513	27	0.9892	44.026
50953	55786	27	0.9719	61.053
52854	55786	27	0.973	-132.079
55439	55786	27	0.9927	44.026
55544	55786	27	0.9799	17.026
55786	59825	27	0.9926	44.026
55786	60482	27	0.9906	-88.052
55786	61205	27	0.9735	-132.079
55786	61578	27	0.9723	-176.105
55786	63238	27	0.9867	88.052
46423	46915	27	0.9696	-27.000
46915	48012	27	0.9696	-61.052
46915	48585	27	0.9753	-17.026
46915	50997	27	0.9662	-105.079
46915	51802	27	0.9603	-149.105
43705	46915	27	0.986	-88.053
44769	46915	27	0.9735	-176.105
44973	46915	27	0.9818	-132.080
45482	46915	27	0.9681	-71.026
28063	31356	27	0.9434	-132.079
31356	32592	27	0.9842	44.026
31356	35236	27	0.9864	-88.053
31356	48513	27	0.9791	-132.079
31356	50353	27	0.967	-14.016
17966	40609	27	0.8738	-27.000
14295	64746	27	0.9568	-14.015
42072	64746	27	0.9614	-17.026
64746	68021	27	0.9721	44.026
49125	50064	27	0.9438	-26.016
50064	58536	27	0.9048	88.053
33145	50064	27	0.901	-70.042
38871	50064	27	0.9375	18.011
33145	49125	27	0.9649	-44.027
38871	49125	27	0.9779	44.026
45428	49125	27	0.9623	17.027
55439	60482	27	0.9927	-44.026
59825	60482	27	0.9834	-132.079
60482	60790	27	0.9768	-61.053
60482	61205	27	0.9893	-44.026
60482	61578	27	0.9811	-88.052
60482	61760	27	0.9727	-149.105
60482	63238	27	0.9762	176.105
46423	48012	27	0.9739	-88.052
46423	48585	27	0.993	-44.026
46423	50353	27	0.9878	88.053
46423	51802	27	0.9644	-176.105
35236	46423	27	0.9661	-14.016
43705	46423	27	0.9719	-61.053
44973	46423	27	0.9674	-105.080
45482	46423	27	0.9824	-44.026
29037	30332	27	0.9206	-14.016
28063	32592	27	0.9573	-88.053
28063	44398	27	0.958	-14.016
32980	33145	27	0.9735	17.027
32980	38283	27	0.9344	-14.016
32980	45428	27	0.9602	-44.026
32980	58536	27	0.9141	35.037
48012	50997	27	0.9889	-44.026
48585	50997	27	0.9794	-88.052
50997	51802	27	0.9657	-44.026
45482	50997	27	0.9685	-176.105
48012	48585	27	0.9894	44.026
48012	50353	27	0.9696	176.105
48012	51802	27	0.9743	-88.052
43705	48012	27	0.9672	-149.105
43705	45482	27	0.9778	-17.027
44769	45482	27	0.9658	-105.079
44947	45482	27	0.9708	-132.079
44973	45482	27	0.9709	-61.054
45482	48585	27	0.9908	-88.052
